"","num","Freq"
"1","Actitis macularius",17
"2","Aechmophorus occidentalis",11090
"3","Aix sponsa",15
"4","Alca torda",15309
"5","Alle alle",2763
"6","Anas acuta",902
"7","Anas americana",8296
"8","Anas clypeata",3
"9","Anas crecca",249
"10","Anas discors",18
"11","Anas platyrhynchos",36
"12","Anas rubripes",86
"13","Anas strepera",115
"14","Anous stolidus",80
"15","Anser caerulescens",69
"16","Ardea herodias",7518
"17","Arenaria interpres",180
"18","Arenaria melanocephala",24
"19","Aythya affinis",8
"20","Aythya americana",6
"21","Aythya collaris",4
"22","Aythya marila",324
"23","Aythya valisineria",244
"24","Brachyramphus marmoratus",2216
"25","Branta bernicla",2455
"26","Branta canadensis",799
"27","Bucephala albeola",61506
"28","Bucephala clangula",10000
"29","Bucephala islandica",3984
"30","Bulweria bulwerii",3
"31","Calidris alba",126
"32","Calidris alpina",1831
"33","Calidris canutus",15
"34","Calidris fuscicollis",2
"35","Calidris himantopus",2
"36","Calidris maritima",4
"37","Calidris mauri",1
"38","Calidris melanotos",6
"39","Calidris minutilla",48
"40","Calidris pusilla",33
"41","Calonectris diomedea",11022
"42","Cepphus carbo",3
"43","Cepphus columba",8565
"44","Cepphus grylle",166
"45","Cerorhinca monocerata",2515
"46","Charadrius semipalmatus",24
"47","Charadrius vociferus",41
"48","Charadrius wilsonia",8
"49","Chlidonias niger",1513
"50","Clangula hyemalis",9425
"51","Cygnus buccinator",97
"52","Cygnus columbianus",28
"53","Dendrocygna autumnalis",1
"54","Egretta rufescens",4
"55","Egretta thula",16
"56","Egretta tricolor",3
"57","Fratercula arctica",1414
"58","Fratercula cirrhata",290
"59","Fratercula corniculata",27
"60","Fregata magnificens",94
"61","Fregetta tropica",3
"62","Fulmarus glacialis",11863
"63","Gallinula galeata",1
"64","Gavia immer",19488
"65","Gavia pacifica",1057
"66","Gavia stellata",22107
"67","Gelochelidon nilotica",24
"68","Haematopus bachmani",147
"69","Haematopus palliatus",22
"70","Haliaeetus leucocephalus",2224
"71","Halocyptena microsoma",2
"72","Himantopus mexicanus",6
"73","Histrionicus histrionicus",3
"74","Hydrobates pelagicus",8
"75","Hydrocoloeus minutus",15
"76","Hydroprogne caspia",1112
"77","Larus argentatus",36307
"78","Larus atricilla",9829
"79","Larus californicus",3858
"80","Larus canus",5857
"81","Larus delawarensis",1216
"82","Larus fuscus",279
"83","Larus glaucescens",28424
"84","Larus glaucoides",24
"85","Larus heermanni",1748
"86","Larus hyperboreus",35
"87","Larus livens",2
"88","Larus marinus",20700
"89","Larus occidentalis",6453
"90","Larus philadelphia",23573
"91","Larus pipixcan",5
"92","Larus ridibundus",4
"93","Larus thayeri",3
"94","Limnodromus griseus",15
"95","Limnodromus scolopaceus",1
"96","Limosa fedoa",23
"97","Lophodytes cucullatus",1
"98","Megaceryle alcyon",10
"99","Melanitta americana",648
"100","Melanitta fusca",9192
"101","Melanitta nigra",2506
"102","Melanitta perspicillata",27589
"103","Mergus merganser",1595
"104","Mergus serrator",11406
"105","Morus bassanus",44694
"106","Numenius phaeopus",28
"107","Oceanites oceanicus",20093
"108","Oceanodroma castro",1875
"109","Oceanodroma furcata",1361
"110","Oceanodroma homochroa",227
"111","Oceanodroma leucorhoa",4886
"112","Oceanodroma melania",150
"113","Oceanodroma tethys",127
"114","Onychoprion anaethetus",1029
"115","Onychoprion fuscatus",1521
"116","Oxyura jamaicensis",760
"117","Pelagodroma marina",27
"118","Pelecanus erythrorhynchos",6
"119","Pelecanus occidentalis",1223
"120","Phaethon aethereus",41
"121","Phaethon lepturus",146
"122","Phalacrocorax auritus",9014
"123","Phalacrocorax brasilianus",50
"124","Phalacrocorax carbo",102
"125","Phalacrocorax pelagicus",717
"126","Phalacrocorax penicillatus",474
"127","Phalacrocorax urile",10534
"128","Phalaropus fulicarius",12427
"129","Phalaropus lobatus",3957
"130","Phalaropus tricolor",59
"131","Phoebastria albatrus",16
"132","Phoebastria immutabilis",86
"133","Phoebastria nigripes",2044
"134","Phoenicopterus ruber",1
"135","Platalea ajaja",4
"136","Plegadis falcinellus",2
"137","Pluvialis dominica",2
"138","Pluvialis squatarola",224
"139","Podiceps auritus",5395
"140","Podiceps grisegena",4179
"141","Podiceps nigricollis",5
"142","Podilymbus podiceps",11
"143","Pterodroma arminjoniana",136
"144","Pterodroma cahow",20
"145","Pterodroma cookii",8
"146","Pterodroma feae",65
"147","Pterodroma hasitata",5353
"148","Pterodroma inexpectata",13
"149","Ptychoramphus aleuticus",9808
"150","Puffinus bulleri",349
"151","Puffinus carneipes",27
"152","Puffinus creatopus",1067
"153","Puffinus gravis",23102
"154","Puffinus griseus",13478
"155","Puffinus lherminieri",6581
"156","Puffinus opisthomelas",28
"157","Puffinus pacificus",18
"158","Puffinus puffinus",1230
"159","Puffinus tenuirostris",13
"160","Recurvirostra americana",14
"161","Rissa tridactyla",9359
"162","Rynchops niger",7
"163","Somateria mollissima",6036
"164","Stercorarius longicaudus",120
"165","Stercorarius maccormicki",301
"166","Stercorarius parasiticus",435
"167","Stercorarius pomarinus",2368
"168","Stercorarius skua",223
"169","Sterna dougallii",354
"170","Sterna elegans",37
"171","Sterna forsteri",1706
"172","Sterna hirundo",5180
"173","Sterna maxima",1489
"174","Sterna paradisaea",395
"175","Sterna repressa",29
"176","Sterna sandvicensis",276
"177","Sternula albifrons",18
"178","Sternula antillarum",168
"179","Sula dactylatra",256
"180","Sula leucogaster",262
"181","Sula nebouxii",2
"182","Sula sula",60
"183","Synthliboramphus antiquus",21
"184","Synthliboramphus hypoleucus",7
"185","Tringa flavipes",7
"186","Tringa incana",2
"187","Tringa melanoleuca",25
"188","Tringa semipalmatus",25
"189","Uria aalge",29195
"190","Uria lomvia",169
"191","Xema sabini",365
